"零件号","日期","需求数量","仓库","需求频次abc分类","价格abc分类","需求数量ABC分类","零件代码第四位","EOP","计划员"
"3CC945208A","20231023","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20231024","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20230830","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20230829","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20230728","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20230730","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20231030","1","5001","B","B","MIDDLE","9","","043"
"3CC945208A","20230906","1","5001","B","B","MIDDLE","9","","043"
"11D941078C","20230927","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230903","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231024","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231023","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231023","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230827","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230829","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230907","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230906","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231019","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230821","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230725","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230919","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230919","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230707","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230709","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231011","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231012","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231011","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230818","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230913","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230811","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230705","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230128","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230223","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230226","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231010","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230920","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230816","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230816","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230815","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230718","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230716","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230515","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230410","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230317","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230602","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230604","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230519","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230317","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230219","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230921","1","1000-2","D","A","MIDDLE","9","","043"
"6RD959801E","20220121","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211122","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211118","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211123","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211123","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211122","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211119","60","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211122","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20191126","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190923","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190926","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190924","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190924","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170122","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180316","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190218","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190226","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190222","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190127","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170526","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20181214","25","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220214","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220214","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220211","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220213","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220213","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20200420","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20200421","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20200419","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20200419","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20200419","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20200420","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20200420","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160911","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170424","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170326","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170217","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160630","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170217","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160920","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160622","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161218","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161221","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161219","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160627","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160708","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160725","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160727","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170103","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170611","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171224","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170119","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190118","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180724","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190213","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180605","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171215","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180416","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180319","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170102","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180102","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161020","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171115","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170731","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180506","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180209","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170314","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170207","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180620","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170902","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170913","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171214","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180528","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180201","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180126","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170219","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170222","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170119","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170204","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170404","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170117","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170327","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161230","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161125","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161220","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161219","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161008","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160822","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160607","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160815","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170329","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170320","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180514","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170526","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190515","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190102","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180827","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180503","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171224","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180810","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190107","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180209","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180205","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180815","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180812","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180222","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170303","1","1000-1","B","C","FAST","9","0619","043"
