"PARTNUMBER","HOSTLOCID","ERDAT","KWMENG"
"零件代码","仓库","日期","预测值"
"6RD959801E","5001","201707","135.699673"
"6RD959801E","5001","201712","85.5"
"6RD959801E","5001","201910","47.365871"
"6RD959801E","5001","202004","36.412483"
"6RD959801E","5001","202012","67.740183"
"6RD959801E","5001","202105","35.75"
"6RD959801E","5001","202110","51"
"6RD959801E","6000","201702","54.627157"
"6RD959801E","6000","201703","58.767045"
"6RD959801E","6000","201705","46.762687"
"6RD959801E","6000","201707","30.846044"
"6RD959801E","6000","201710","15.135343"
"6RD959801E","6000","201904","27.603333"
"6RD959801E","6000","201909","29.493333"
"6RD959801E","6000","202001","6.709677"
"6RD959801E","6000","202008","6.863918"
"6RD959801E","6000","202102","10.884483"
"6RD959801E","6000","202110","7.68"
"6RD959801E","6000","202111","0"
"6RD959801E","6000","202205","11"
"6RD959801E","6000","202208","13.5"
"6RD959801E","6000","202301","0"
"6RD959801E","6000","202310","0"
"6RD959801E","6000","202407","0"
"6RD959801E","8011","201608","24.2"
"6RD959801E","8011","201705","51.103198"
"6RD959801E","8011","201708","24.738352"
"6RD959801E","8011","201710","15.101736"
"6RD959801E","8011","201807","51.5"
"6RD959801E","8011","201810","21.5"
"6RD959801E","8011","201912","20.75"
"6RD959801E","8011","202005","19.25"
"6RD959801E","8011","202104","19.486667"
"6RD959801E","8011","202108","10.983051"
"6RD959801E","8012","201607","9.6"
"6RD959801E","8012","201608","12.733333"
"6RD959801E","8012","201712","25.457163"
"6RD959801E","8012","201812","27.023333"
"6RD959801E","8012","201907","22.80737"
"6RD959801E","8012","201912","14.448679"
"6RD959801E","8012","202006","5.725806"
"6RD959801E","8012","202010","9.483871"
"6RD959801E","8012","202104","4.236667"
"6RD959801E","8012","202106","3.5"
"6RD959801E","8012","202107","4.25"
"6RD959801E","8013","201706","16.10747"
"6RD959801E","8013","201803","25.885258"
"6RD959801E","8013","201807","23.285963"
"6RD959801E","8013","201810","6.866969"
"6RD959801E","8013","201811","13.608621"
"6RD959801E","8013","201909","9.003333"
"6RD959801E","8013","202008","1.76"
"6RD959801E","8013","202011","1.276667"
"6RD959801E","8013","202104","1.203333"
"6RD959801E","8013","202106","1.096667"
"6RD959801E","8013","202207","0.333333"
"6RD959801E","8015","201703","68.847411"
"6RD959801E","8015","201707","22.33871"
"6RD959801E","8015","201804","54.169013"
"6RD959801E","8015","201808","39.223333"
"6RD959801E","8015","201901","16.870968"
"6RD959801E","8015","201902","24.870968"
"6RD959801E","8015","201903","26.564516"
"6RD959801E","8015","201905","35.080645"
"6RD959801E","8015","201906","24.784377"
"6RD959801E","8015","201912","49.455795"
"6RD959801E","8015","202010","23.086667"
"6RD959801E","8015","202101","33.534218"
"6RD959801E","8015","202104","11.27"
"6RD959801E","8015","202106","5.062599"
"6RD959801E","8015","202312","0"
"6RD959801E","8015","202402","0"
"6RD959801E","8021","201705","20.432766"
"6RD959801E","8021","201804","13.689497"
"6RD959801E","8021","201806","13.514335"
"6RD959801E","8021","202104","11.82505"
"6RD959801E","8022","201606","10"
"6RD959801E","8022","201611","30.323289"
"6RD959801E","8022","201612","27.072056"
"6RD959801E","8022","201812","28.506667"
"6RD959801E","8022","201903","18.983871"
"6RD959801E","8022","201904","27.467742"
"6RD959801E","8022","201908","18.75"
"6RD959801E","8022","201910","20.739263"
"6RD959801E","8022","201911","16.988469"
"6RD959801E","8022","202102","35"
"6RD959801E","8022","202106","4.25"
"6RD959801E","8022","202109","16.25"
"6RD959801E","8023","201610","7.934783"
"6RD959801E","8023","201612","16.142266"
"6RD959801E","8023","201706","16.199934"
"6RD959801E","8023","201712","8.370968"
"6RD959801E","8023","201904","8.02397"
"6RD959801E","8023","202103","3.611378"
"6RD959801E","8023","202111","0"
"6RD959801E","8023","202207","18"
"6RD959801E","8023","202211","0"
"6RD959801E","8023","202302","0"
"6RD959801E","8023","202312","0"
"6RD959801E","8025","201609","4.156667"
"6RD959801E","8025","201612","6.989202"
"6RD959801E","8025","201704","6.010221"
"6RD959801E","8025","201708","4.45458"
"6RD959801E","8025","201709","4.763664"
"6RD959801E","8025","201812","3.25"
"6RD959801E","8025","201909","3.30658"
"6RD959801E","8025","202003","1.901521"
"6RD959801E","8031","201612","1.818713"
"6RD959801E","8031","201711","4.290323"
"6RD959801E","8031","201810","5.726667"
"6RD959801E","8031","201812","0.662938"
"6RD959801E","8031","201902","5.621116"
"6RD959801E","8031","202010","0"
"6RD959801E","8031","202012","0"
"6RD959801E","8031","202101","0"
"6RD959801E","5002","201810","16"
"6RD959801E","5002","201905","15.543333"
"6RD959801E","5002","202008","6.283333"
"6RD959801E","5002","202102","1.25"
"6RD959801E","5002","202103","1.5"
"11D941078C","1000-2","202304","2.166667"
"11D941078C","1000-2","202305","1.7"
"11D941078C","1000-2","202406","5.022222"
"11D941078C","1000-2","202408","5.022222"
"3CC945208A","1000-1","202312","7.533333"
"3CC945208A","3001","202312","3.916667"
"3CC945208A","3001","202402","3.916667"
"3CC945208A","3001","202408","3.916667"
"3CC945208A","5001","202401","7.583333"
"3CC945208A","5001","202403","7.583333"
"3CC945208A","5001","202407","7.583333"
"3CC945208A","6000","202401","5.666667"
"3CC945208A","8011","202401","3.571429"
"3CC945208A","8011","202403","3.571429"
"3CC945208A","8011","202406","3.571429"
"3CC945208A","8011","202408","3.571429"
"3CC945208A","8012","202408","2.8"
"3CC945208A","8013","202309","1"
"3CC945208A","8013","202405","1.333333"
"3CC945208A","8013","202407","1.333333"
"3CC945208A","8015","202404","2.777778"
"3CC945208A","8015","202405","2.777778"
"3CC945208A","8015","202408","2.777778"
"3CC945208A","8022","202312","3.090909"
"3CC945208A","5002","202308","0.1"
"6RD959801E","1000-1","201707","0.018182"
"6RD959801E","1000-1","201712","0.008333"
"6RD959801E","1000-1","201808","0"
"6RD959801E","1000-1","201910",""
"6RD959801E","1000-1","201912",""
"6RD959801E","1000-1","202004",""
"6RD959801E","1000-1","202110",""
"6RD959801E","1000-1","202203","151.330981"
"6RD959801E","1000-1","202204","170.081132"
"6RD959801E","1000-1","202207","1"
"6RD959801E","1000-1","202406","111.03"
"6RD959801E","1000-1","202408","111.03"
"6RD959801E","3001","201709","20.118867"
"6RD959801E","3001","201801","35.193548"
"6RD959801E","3001","201901","30.34"
"6RD959801E","3001","201911","4.553775"
"6RD959801E","3001","201912","11.053825"
"6RD959801E","3001","202011","1.911121"
"6RD959801E","3001","202103","6.788567"
"6RD959801E","3001","202104","3.612784"
"6RD959801E","3001","202106","6.337564"
"6RD959801E","3002","201809","1.166667"
"6RD959801E","3002","201812","1.196667"
"6RD959801E","3002","201906","0.876667"
"6RD959801E","5001","201711","107.43825"
"6RD959801E","5001","201903","49.713644"
"6RD959801E","5001","201904","80.228163"
"6RD959801E","5001","201907","79.463398"
"6RD959801E","5001","201912","45.47244"
"6RD959801E","5001","202006","62.743863"
"6RD959801E","5001","202007","54.850835"
"6RD959801E","5001","202101","55.109299"
"6RD959801E","5001","202106","23.32735"
"6RD959801E","5001","202108","19.325711"
"6RD959801E","5001","202207","9"
"6RD959801E","5001","202208","23.75"
"6RD959801E","5001","202209","55.25"
"6RD959801E","6000","201612","42.786016"
"6RD959801E","6000","201701","46.539195"
"6RD959801E","6000","201704","52.899366"
"6RD959801E","6000","201706","37.690039"
"6RD959801E","6000","201801","19.403226"
"6RD959801E","6000","201802","30.5"
"6RD959801E","6000","201803","34.25"
"6RD959801E","6000","201903","25.293333"
"6RD959801E","6000","202012","13.919355"
"6RD959801E","6000","202104","8.234927"
"6RD959801E","6000","202201","0"
"6RD959801E","6000","202304","0"
"6RD959801E","6000","202306","0"
"6RD959801E","6000","202308","0"
"6RD959801E","8011","201606","6.666667"
"6RD959801E","8011","201610","13.93"
"6RD959801E","8011","201707","30.93718"
"6RD959801E","8011","201712","37.370968"
"6RD959801E","8011","201802","56.290323"
"6RD959801E","8011","201808","37.75"
"6RD959801E","8011","201809","30.25"
"6RD959801E","8011","201811","21.5"
"6RD959801E","8011","202007","43.25"
"6RD959801E","8011","202110","13.87"
"6RD959801E","8011","202207","15.463333"
"6RD959801E","8012","201707","64.233976"
"6RD959801E","8012","201708","45.232417"
"6RD959801E","8012","201801","17.753759"
"6RD959801E","8012","201803","33.127119"
"6RD959801E","8012","201804","41.788136"
"6RD959801E","8012","201806","38.042373"
"6RD959801E","8012","202002","10.285115"
"6RD959801E","8012","202101","3.102225"
"6RD959801E","8013","201609","3.747368"
"6RD959801E","8013","201712","20.802978"
"6RD959801E","8013","201804","26.015133"
"6RD959801E","8013","202007","1.956667"
"6RD959801E","8013","202101","0.943333"
"6RD959801E","8013","202102","0.773333"
"6RD959801E","8013","202103","0.9"
"6RD959801E","8015","201706","35.564516"
"6RD959801E","8015","201802","62.967599"
"6RD959801E","8015","201904","41.548387"
"6RD959801E","8015","201908","16.176575"
"6RD959801E","8015","202004","17.090487"
"6RD959801E","8015","202009","23.58"
"6RD959801E","8015","202011","21.676667"
"6RD959801E","8015","202112","0"
"6RD959801E","8015","202206","6.353333"
"6RD959801E","8015","202209","8.683333"
"6RD959801E","8015","202301","0"
"6RD959801E","8015","202303","0"
"6RD959801E","8015","202405","0"
"6RD959801E","8015","202406","0"
"6RD959801E","8021","201606","9"
"6RD959801E","8021","201607","12.333333"
"6RD959801E","8021","201609","7.54"
"6RD959801E","8021","201707","16.083497"
"6RD959801E","8021","201805","14.398821"
"6RD959801E","8021","201812","15.810995"
"6RD959801E","8021","202006","13.79"
"6RD959801E","8021","202008","13.346667"
"6RD959801E","8021","202010","19.75"
"6RD959801E","8021","202101","2.84529"
"6RD959801E","8021","202106","8.073576"
"6RD959801E","8021","202205","0.036667"
"6RD959801E","8022","201712","23.617508"
"6RD959801E","8022","201811","29.65"
"6RD959801E","8022","201905","24.096774"
"6RD959801E","8022","202010","35"
"6RD959801E","8023","201809","6.381847"
"6RD959801E","8023","201901","8.308332"
"6RD959801E","8023","202011","3.69284"
