"MATNR","TO_CHAR(ERDAT,'YYYYMMDD')","KWMENG","SEND_LOCID","ABC_HITS_NETWORK","ABC_COST","ABC_DEMAND","P4","END_DATE","HOSTPLANNERCODEID"
"零件号","日期","需求数量","仓库","需求频次abc分类","价格abc分类","需求数量ABC分类","零件代码第四位","EOP","计划员"
"6RD959801E","20220909","30","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170319","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180314","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180320","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161114","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170309","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170609","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190520","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190924","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211122","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211118","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161025","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161209","1","1000-1","B","C","FAST","9","0619","043"
"11D941078C","20230903","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230811","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230829","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230827","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231024","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230219","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230317","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230519","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230604","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230602","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230906","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231010","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230818","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231011","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230725","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231019","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230317","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230410","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230223","1","1000-2","D","A","MIDDLE","9","","043"
"3CC945208A","20230213","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230312","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230507","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230507","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230809","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230912","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230913","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230911","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230728","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230731","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230802","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230828","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230829","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231023","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231020","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231020","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230216","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230318","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230320","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230515","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230604","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230605","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230607","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230606","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230606","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230602","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230425","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230717","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230816","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230814","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230817","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230306","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230504","2","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230629","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230905","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230906","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230908","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230108","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230109","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230201","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230609","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230608","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230722","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230820","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231013","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231013","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231014","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231014","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231015","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231016","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230529","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230923","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230925","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230616","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230617","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230618","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230619","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230614","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230727","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20231018","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230314","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230314","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230316","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230709","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230710","1","1000-1","B","B","MIDDLE","9","","043"
"3CC945208A","20230711","1","1000-1","B","B","MIDDLE","9","","043"
"6RD959801E","20220209","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171108","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161209","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170815","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161121","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180315","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180515","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171226","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180403","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171022","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190109","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180130","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160926","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170113","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220214","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220214","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220216","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160926","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220330","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220329","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220331","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220401","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220519","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220518","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220518","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220624","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220622","1","1000-1","B","C","FAST","9","0619","043"
