,零件号,日期,仓库,需求数量
586,6RD959801E,2016-12-20,1000-1,15
587,6RD959801E,2016-12-21,1000-1,109
588,6RD959801E,2016-12-22,1000-1,11
589,6RD959801E,2016-12-23,1000-1,10
590,6RD959801E,2016-12-25,1000-1,6
591,6RD959801E,2016-12-26,1000-1,34
592,6RD959801E,2016-12-27,1000-1,56
593,6RD959801E,2016-12-28,1000-1,17
594,6RD959801E,2016-12-29,1000-1,215
595,6RD959801E,2016-12-30,1000-1,13
596,6RD959801E,2017-01-01,1000-1,1
597,6RD959801E,2017-01-02,1000-1,15
598,6RD959801E,2017-01-03,1000-1,42
599,6RD959801E,2017-01-04,1000-1,28
600,6RD959801E,2017-01-05,1000-1,17
601,6RD959801E,2017-01-06,1000-1,35
602,6RD959801E,2017-01-08,1000-1,11
603,6RD959801E,2017-01-09,1000-1,43
604,6RD959801E,2017-01-10,1000-1,27
605,6RD959801E,2017-01-11,1000-1,17
606,6RD959801E,2017-01-12,1000-1,18
607,6RD959801E,2017-01-13,1000-1,15
608,6RD959801E,2017-01-14,1000-1,3
609,6RD959801E,2017-01-15,1000-1,15
610,6RD959801E,2017-01-16,1000-1,47
611,6RD959801E,2017-01-17,1000-1,26
612,6RD959801E,2017-01-18,1000-1,23
613,6RD959801E,2017-01-19,1000-1,19
614,6RD959801E,2017-01-20,1000-1,13
615,6RD959801E,2017-01-21,1000-1,13
616,6RD959801E,2017-01-22,1000-1,21
617,6RD959801E,2017-01-23,1000-1,22
618,6RD959801E,2017-01-24,1000-1,17
619,6RD959801E,2017-01-25,1000-1,5
620,6RD959801E,2017-01-26,1000-1,1
621,6RD959801E,2017-02-01,1000-1,1
622,6RD959801E,2017-02-03,1000-1,30
623,6RD959801E,2017-02-04,1000-1,29
624,6RD959801E,2017-02-05,1000-1,23
625,6RD959801E,2017-02-06,1000-1,52
626,6RD959801E,2017-02-07,1000-1,36
627,6RD959801E,2017-02-08,1000-1,14
628,6RD959801E,2017-02-09,1000-1,19
629,6RD959801E,2017-02-10,1000-1,20
630,6RD959801E,2017-02-11,1000-1,4
631,6RD959801E,2017-02-12,1000-1,18
632,6RD959801E,2017-02-13,1000-1,60
633,6RD959801E,2017-02-14,1000-1,25
634,6RD959801E,2017-02-15,1000-1,18
635,6RD959801E,2017-02-16,1000-1,29
636,6RD959801E,2017-02-17,1000-1,16
637,6RD959801E,2017-02-19,1000-1,11
638,6RD959801E,2017-02-20,1000-1,39
639,6RD959801E,2017-02-21,1000-1,19
640,6RD959801E,2017-02-22,1000-1,13
641,6RD959801E,2017-02-23,1000-1,17
642,6RD959801E,2017-02-24,1000-1,16
643,6RD959801E,2017-02-26,1000-1,12
644,6RD959801E,2017-02-27,1000-1,34
645,6RD959801E,2017-02-28,1000-1,9
646,6RD959801E,2017-03-01,1000-1,15
647,6RD959801E,2017-03-02,1000-1,22
648,6RD959801E,2017-03-03,1000-1,11
649,6RD959801E,2017-03-05,1000-1,11
650,6RD959801E,2017-03-06,1000-1,28
651,6RD959801E,2017-03-07,1000-1,17
652,6RD959801E,2017-03-08,1000-1,14
653,6RD959801E,2017-03-09,1000-1,10
654,6RD959801E,2017-03-10,1000-1,11
655,6RD959801E,2017-03-12,1000-1,11
656,6RD959801E,2017-03-13,1000-1,21
657,6RD959801E,2017-03-14,1000-1,12
658,6RD959801E,2017-03-15,1000-1,6
659,6RD959801E,2017-03-16,1000-1,6
660,6RD959801E,2017-03-17,1000-1,8
661,6RD959801E,2017-03-18,1000-1,2
662,6RD959801E,2017-03-19,1000-1,9
663,6RD959801E,2017-03-20,1000-1,12
664,6RD959801E,2017-03-21,1000-1,29
665,6RD959801E,2017-03-22,1000-1,30
666,6RD959801E,2017-03-23,1000-1,25
667,6RD959801E,2017-03-24,1000-1,4
668,6RD959801E,2017-03-26,1000-1,4
669,6RD959801E,2017-03-27,1000-1,21
670,6RD959801E,2017-03-28,1000-1,10
671,6RD959801E,2017-03-29,1000-1,17
672,6RD959801E,2017-03-30,1000-1,16
